Season,SeasonLabel,GameWeek,Date,Opponent,Result,DMScore,OppScore,FixtureID,URL,PDFAvailable
spring2025,Spring 2025,G1,2025-10-30,Toenails,win,127,-6,2266917,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2266917,
spring2025,Spring 2025,G2,2025-11-04,The Gravel Donkeys,win,81,74,2274656,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2274656,
spring2025,Spring 2025,G3,2025-11-04,MATCHFIXERS,win,98,78,2266920,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2266920,
spring2025,Spring 2025,G4,2025-11-25,The Gravel Donkeys,loss,94,134,2266930,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2266930,
spring2025,Spring 2025,G5,2025-11-25,Just The Tip And Run 22,loss,39,103,2266927,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2266927,
spring2025,Spring 2025,G6,2025-12-04,Toenails,win,141,36,2266932,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2266932,
autumn2026,Autumn 2026,G7,2026-02-24,Incredibles,loss,59,87,2293054,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293054,
autumn2026,Autumn 2026,G8,2026-03-04,Akkerkop Arende,loss,54,70,2293056,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293056,
autumn2026,Autumn 2026,G9,2026-03-11,SEW Strikers,win,58,27,2303782,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2303782,
autumn2026,Autumn 2026,G10,2026-03-17,Duck Hunters,win,93,48,2293062,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293062,
autumn2026,Autumn 2026,G11,2026-04-02,Super Kings,loss,108,119,2293058,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293058,
autumn2026,Autumn 2026,G12,2026-04-15,Akkerkop Arende,loss,52,136,2293071,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293071,
autumn2026,Autumn 2026,G13,2026-04-23,Haduuuuken,loss,89,90,2314795,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2314795,
autumn2026,Autumn 2026,G14,2026-04-29,Akkerkop Arende,loss,103,108,2293080,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293080,
autumn2026,Autumn 2026,G15,2026-05-06,Duck Hunters,loss,42,75,2293077,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2293077,
autumn2026,Autumn 2026,G16,2026-05-12,Morning Wood Warriors,loss,107,108,2318041,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2318041,
autumn2026,Autumn 2026,G17,2026-05-21,DLH,win,138,84,2320060,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2320060,
autumn2026,Autumn 2026,G18,2026-05-27,Duck Hunters,win,88,67,2322095,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2322095,
autumn2026,Autumn 2026,G19,2026-06-02,Akkerkop Arende,win,110,61,2322997,https://actionsport.spawtz.com/Leagues/IndoorCricket/Scoresheet?FixtureId=2322997,
